date,party,support,type
2022-04-01,P,0.145,prop
2022-04-01,S,4120,count
2022-04-01,S,0.13699999999999998,prop
2022-04-01,V,4120,count
2022-04-01,V,0.10099999999999999,prop
2022-04-01,others,4120,count
2022-04-01,others,0.004,prop
2022-03-01,D,4590,count
2022-03-01,D,0.22699999999999998,prop
2022-03-01,B,4590,count
2022-03-01,B,0.18,prop
2022-03-01,C,4590,count
2022-03-01,C,0.091,prop
2022-03-01,F,4590,count
2022-03-01,F,0.08199999999999999,prop
2022-03-01,J,4590,count
2022-03-01,J,0.036000000000000004,prop
2022-03-01,M,4590,count
2022-03-01,M,0.037000000000000005,prop
2022-03-01,P,4590,count
2022-03-01,P,0.11900000000000001,prop
2022-03-01,S,4590,count
2022-03-01,S,0.11199999999999999,prop
2022-03-01,V,4590,count
2022-03-01,V,0.114,prop
2022-03-01,others,4590,count
2022-03-01,others,0.003,prop
2022-02-01,D,4060,count
2022-02-01,D,0.21899999999999997,prop
2022-02-01,B,4060,count
2022-02-01,B,0.18100000000000002,prop
2022-02-01,C,4060,count
2022-02-01,C,0.09699999999999999,prop
2022-02-01,F,4060,count
2022-02-01,F,0.075,prop
2022-02-01,J,4060,count
2022-02-01,J,0.039,prop
2022-02-01,M,4060,count
2022-02-01,M,0.039,prop
2022-02-01,P,4060,count
2022-02-01,P,0.132,prop
2022-02-01,S,4060,count
2022-02-01,S,0.111,prop
2022-02-01,V,4060,count
2022-02-01,V,0.105,prop
2022-02-01,others,4060,count
2022-02-01,others,0.002,prop
2022-01-01,D,4630,count
2022-01-01,D,0.22399999999999998,prop
2022-01-01,B,4630,count
2022-01-01,B,0.17,prop
2022-01-01,C,4630,count
2022-01-01,C,0.094,prop
2022-01-01,F,4630,count
2022-01-01,F,0.08800000000000001,prop
2022-01-01,J,4630,count
2022-01-01,J,0.043,prop
2022-01-01,M,4630,count
2022-01-01,M,0.037000000000000005,prop
2022-01-01,P,4630,count
2022-01-01,P,0.125,prop
2022-01-01,S,4630,count
2022-01-01,S,0.10800000000000001,prop
2022-01-01,V,4630,count
2022-01-01,V,0.107,prop
2022-01-01,others,4630,count
2022-01-01,others,0.004,prop
2021-12-01,D,6950,count
2021-12-01,D,0.233,prop
2021-12-01,B,6950,count
2021-12-01,B,0.177,prop
2021-12-01,C,6950,count
2021-12-01,C,0.087,prop
2021-12-01,F,6950,count
2021-12-01,F,0.086,prop
2021-12-01,J,6950,count
2021-12-01,J,0.045,prop
2021-12-01,M,6950,count
2021-12-01,M,0.034,prop
2021-12-01,P,6950,count
2021-12-01,P,0.125,prop
2021-12-01,S,6950,count
2021-12-01,S,0.105,prop
2021-12-01,V,6950,count
2021-12-01,V,0.106,prop
2021-12-01,others,6950,count
2021-12-01,others,0.003,prop
2021-11-01,D,8840,count
2021-11-01,D,0.22699999999999998,prop
2021-11-01,B,8840,count
2021-11-01,B,0.17,prop
2021-11-01,C,8840,count
2021-11-01,C,0.084,prop
2021-11-01,F,8840,count
2021-11-01,F,0.08,prop
2021-11-01,J,8840,count
2021-11-01,J,0.044000000000000004,prop
2021-11-01,M,8840,count
2021-11-01,M,0.038,prop
2021-11-01,P,8840,count
2021-11-01,P,0.11800000000000001,prop
2021-11-01,S,8840,count
2021-11-01,S,0.107,prop
2021-11-01,V,8840,count
2021-11-01,V,0.13,prop
2021-11-01,others,8840,count
2021-11-01,others,0.002,prop
2021-10-01,D,7930,count
2021-10-01,D,0.228,prop
2021-10-01,B,7930,count
2021-10-01,B,0.172,prop
2021-10-01,C,7930,count
2021-10-01,C,0.08900000000000001,prop
2021-10-01,F,7930,count
2021-10-01,F,0.079,prop
2021-10-01,J,7930,count
2021-10-01,J,0.046,prop
2021-10-01,M,7930,count
2021-10-01,M,0.043,prop
2021-10-01,P,7930,count
2021-10-01,P,0.11,prop
2021-10-01,S,7930,count
2021-10-01,S,0.098,prop
2021-10-01,V,7930,count
2021-10-01,V,0.134,prop
2021-10-01,others,7930,count
2021-10-01,others,0.002,prop
2021-09-01,D,13020,count
2021-09-01,D,0.223,prop
2021-09-01,B,13020,count
2021-09-01,B,0.13699999999999998,prop
2021-09-01,C,13020,count
2021-09-01,C,0.098,prop
2021-09-01,F,13020,count
2021-09-01,F,0.06,prop
2021-09-01,J,13020,count
2021-09-01,J,0.068,prop
2021-09-01,M,13020,count
2021-09-01,M,0.07,prop
2021-09-01,P,13020,count
2021-09-01,P,0.105,prop
2021-09-01,S,13020,count
2021-09-01,S,0.12,prop
2021-09-01,V,13020,count
2021-09-01,V,0.114,prop
2021-09-01,others,13020,count
2021-09-01,others,0.006,prop
